time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.503721,0.006651,-0.012123,-0.012301,-0.008556,-0.020596,0.999687,-0.011316,-178.7235772368807,-1.006897531826599,-177.65068266248946,-178.7235772368807,-1.006897531826599,-177.65068266248946
3.505668,0.006672,-0.012139,-0.012259,-0.008358,-0.020595,0.99969,-0.011262,-178.72930573183586,-0.9840861975031081,-177.65050426018706,-178.72930573183586,-0.9840861975031081,-177.65050426018706
3.511703,0.006533,-0.012043,-0.012368,-0.008537,-0.020764,0.999686,-0.011137,-178.7442141691847,-1.0045115676343788,-177.63122502472208,-178.7442141691847,-1.0045115676343788,-177.63122502472208
3.515702,0.00655,-0.012062,-0.012332,-0.008368,-0.020779,0.999687,-0.011116,-178.7462372339492,-0.9851188508618115,-177.62927713212778,-178.7462372339492,-0.9851188508618115,-177.62927713212778
3.521705,0.006584,-0.012103,-0.01226,-0.00806,-0.020844,0.999688,-0.011138,-178.74305451017594,-0.949966953915811,-177.6214740252234,-178.74305451017594,-0.949966953915811,-177.6214740252234
3.52786,0.006601,-0.012127,-0.012224,-0.007899,-0.020888,0.999688,-0.011183,-178.73755998095487,-0.9316848739226008,-177.61627738708972,-178.73755998095487,-0.9316848739226008,-177.61627738708972
3.535695,0.006469,-0.012224,-0.012262,-0.007274,-0.020943,0.999691,-0.011272,-178.7259329753392,-0.8603653414877287,-177.60928630043475,-178.7259329753392,-0.8603653414877287,-177.60928630043475
3.539693,0.006482,-0.012254,-0.012228,-0.007016,-0.021009,0.999691,-0.011289,-178.7234268245507,-0.8309328260295412,-177.60141387626464,-178.7234268245507,-0.8309328260295412,-177.60141387626464
3.541681,0.006496,-0.012285,-0.012193,-0.006725,-0.021082,0.999691,-0.011284,-178.72336314775745,-0.7976759826020413,-177.5926772358225,-178.72336314775745,-0.7976759826020413,-177.5926772358225
3.551752,0.006374,-0.012175,-0.012216,-0.005821,-0.021055,0.999698,-0.011291,-178.7203836483109,-0.6940950777133498,-177.59465569387217,-178.7203836483109,-0.6940950777133498,-177.59465569387217
3.553718,0.006387,-0.012206,-0.012183,-0.005424,-0.021124,0.999699,-0.011224,-178.72715402877242,-0.6485405546380203,-177.58620281055107,-178.72715402877242,-0.6485405546380203,-177.58620281055107
3.557722,0.006402,-0.012239,-0.01215,-0.004997,-0.021189,0.999701,-0.011147,-178.73499165254358,-0.5995195625332664,-177.5781761450519,-178.73499165254358,-0.5995195625332664,-177.5781761450519
3.561718,0.006419,-0.012273,-0.012116,-0.004574,-0.021247,0.999703,-0.011062,-178.7437444132314,-0.5509275588955069,-177.57095844198665,-178.7437444132314,-0.5509275588955069,-177.57095844198665
3.565715,0.006437,-0.012308,-0.012082,-0.004156,-0.0213,0.999704,-0.010981,-178.752038862,-0.5029104362418108,-177.56432276177566,-178.752038862,-0.5029104362418108,-177.56432276177566
3.571716,0.006314,-0.012421,-0.012136,-0.003969,-0.021222,0.999708,-0.010895,-178.76140369653544,-0.48118188558717195,-177.57299636842282,-178.76140369653544,-0.48118188558717195,-177.57299636842282
3.57397,0.006332,-0.01246,-0.012104,-0.003605,-0.02127,0.999709,-0.010822,-178.76890829346266,-0.43936379999864555,-177.56701775114786,-178.76890829346266,-0.43936379999864555,-177.56701775114786
3.581721,0.006375,-0.012542,-0.012039,-0.002978,-0.021358,0.99971,-0.0107,-178.7813965181297,-0.367344893617287,-177.55612154828572,-178.7813965181297,-0.367344893617287,-177.55612154828572
3.585759,0.006398,-0.012584,-0.012006,-0.002724,-0.021399,0.999711,-0.010647,-178.7868660324061,-0.3381671449164835,-177.55110295831238,-178.7868660324061,-0.3381671449164835,-177.55110295831238
3.58969,0.006246,-0.012405,-0.012087,-0.002435,-0.021078,0.999716,-0.010875,-178.75993909378946,-0.3052196947434396,-177.58761531014562,-178.75993909378946,-0.3052196947434396,-177.58761531014562
3.59369,0.006268,-0.012445,-0.012057,-0.002235,-0.021122,0.999716,-0.010833,-178.7642824053099,-0.2822607650052014,-177.58231496183853,-178.7642824053099,-0.2822607650052014,-177.58231496183853
3.597711,0.00629,-0.012486,-0.012028,-0.002044,-0.021168,0.999716,-0.010797,-178.76795899174718,-0.26034952612592077,-177.5768008117589,-178.76795899174718,-0.26034952612592077,-177.5768008117589
3.601698,0.006313,-0.012528,-0.011999,-0.001836,-0.021215,0.999715,-0.010749,-178.77296328078856,-0.23646227558070998,-177.5711418184783,-178.77296328078856,-0.23646227558070998,-177.5711418184783
3.605693,0.006339,-0.012571,-0.011968,-0.001604,-0.021266,0.999715,-0.010685,-178.77974423905178,-0.20979126531577483,-177.56500058806571,-178.77974423905178,-0.20979126531577483,-177.56500058806571
3.611717,0.006173,-0.012851,-0.011983,-0.001536,-0.020808,0.999726,-0.010565,-178.7932353647508,-0.2011562300012404,-177.6173857922055,-178.7932353647508,-0.2011562300012404,-177.6173857922055
3.615723,0.006196,-0.012901,-0.011953,-0.001263,-0.020872,0.999726,-0.010476,-178.80279391336106,-0.16974575716875942,-177.60970821698191,-178.80279391336106,-0.16974575716875942,-177.60970821698191
3.619684,0.00622,-0.012951,-0.011922,-0.000967,-0.020939,0.999727,-0.010368,-178.81447364469292,-0.13565723094476828,-177.60166877258044,-178.81447364469292,-0.13565723094476828,-177.60166877258044
3.627714,0.00627,-0.013054,-0.011858,-0.000337,-0.021081,0.999727,-0.010095,-178.84425020466043,-0.06299336404517199,-177.58463031007557,-178.84425020466043,-0.06299336404517199,-177.58463031007557
3.63369,0.006101,-0.012598,-0.011961,0.000312,-0.021029,0.999725,-0.010384,-178.80957149371724,0.010719933151741601,-177.589835814203,-178.80957149371724,0.010719933151741601,-177.589835814203
3.635666,0.006122,-0.012639,-0.011934,0.000652,-0.021104,0.999725,-0.010202,-178.82959971551963,0.05002124922307371,-177.58084272377164,-178.82959971551963,0.05002124922307371,-177.58084272377164
3.63969,0.006145,-0.012681,-0.011908,0.001002,-0.021183,0.999725,-0.010015,-178.850170504606,0.0904788632016266,-177.57139489471896,-178.850170504606,0.0904788632016266,-177.57139489471896
3.641762,0.00617,-0.012724,-0.011882,0.001358,-0.021267,0.999725,-0.009823,-178.87129278387033,0.13163382418838884,-177.56138364705592,-178.87129278387033,0.13163382418838884,-177.56138364705592
3.645714,0.006197,-0.012767,-0.011858,0.001725,-0.021355,0.999724,-0.009634,-178.89203398463866,0.17404076209598332,-177.55091080115434,-178.89203398463866,0.17404076209598332,-177.55091080115434
3.651683,0.006043,-0.012173,-0.01196,0.002205,-0.021432,0.999721,-0.009718,-178.88121618590873,0.22873780738161953,-177.5415330019831,-178.88121618590873,0.22873780738161953,-177.5415330019831
3.657732,0.006096,-0.012237,-0.011931,0.00303,-0.02162,0.999717,-0.009429,-178.91223163687008,0.3237558256420139,-177.51914101240075,-178.91223163687008,0.3237558256420139,-177.51914101240075
3.663768,0.006127,-0.01227,-0.011919,0.003489,-0.021716,0.999715,-0.009313,-178.9243455055977,0.3765235898031262,-177.50767861988794,-178.9243455055977,0.3765235898031262,-177.50767861988794
3.6657,0.00616,-0.012303,-0.01191,0.003984,-0.021812,0.999712,-0.00921,-178.93486713882209,0.4333852936380291,-177.49617836486968,-178.93486713882209,0.4333852936380291,-177.49617836486968
3.671685,0.006033,-0.012111,-0.012038,0.004645,-0.022101,0.999702,-0.009214,-178.93259822284546,0.5087905934485749,-177.46232765242874,-178.93259822284546,0.5087905934485749,-177.46232765242874
3.675717,0.006065,-0.012141,-0.012035,0.005255,-0.022209,0.999698,-0.009126,-178.94106564464764,0.5787812872574291,-177.44933783724372,-178.94106564464764,0.5787812872574291,-177.44933783724372
3.67977,0.0061,-0.01217,-0.012032,0.005931,-0.02232,0.999692,-0.009032,-178.9500285064285,0.6563465633342757,-177.43593674577522,-178.9500285064285,0.6563465633342757,-177.43593674577522
3.687883,0.006173,-0.01223,-0.012029,0.007411,-0.022553,0.999679,-0.008832,-178.96893584649905,0.8261687930146895,-177.40779034053668,-178.96893584649905,0.8261687930146895,-177.40779034053668
3.693792,0.006053,-0.012324,-0.012163,0.008309,-0.022408,0.999678,-0.008474,-179.00774604739775,0.9301162629939884,-177.42377862284093,-179.00774604739775,0.9301162629939884,-177.42377862284093
3.695683,0.006088,-0.012358,-0.012164,0.009205,-0.022524,0.999669,-0.008364,-179.01790736407463,1.0329341206572789,-177.4096691388412,-179.01790736407463,1.0329341206572789,-177.4096691388412
3.699706,0.006124,-0.012392,-0.012162,0.010172,-0.022637,0.999658,-0.008219,-179.0318679663091,1.1439825404768649,-177.39588017455978,-179.0318679663091,1.1439825404768649,-177.39588017455978
3.701686,0.006161,-0.012427,-0.012158,0.011167,-0.022758,0.999646,-0.00803,-179.05075959663893,1.2583508693897683,-177.38122590875332,-179.05075959663893,1.2583508693897683,-177.38122590875332
