time,x,y,z
1781180427.8671076,33.00393372774124,-70.52992284297943,-930.0786256790161
1781180427.8885615,33.022698014974594,-70.47323137521744,-930.0339221954346
1781180427.9193766,32.94631093740463,-70.55384665727615,-930.157482624054
1781180427.950172,32.94350206851959,-70.53790241479874,-930.124044418335
1781180427.9815497,32.9832062125206,-70.55878639221191,-929.9742579460144
1781180428.0130844,33.386219292879105,-70.59724628925323,-933.0277442932129
1781180428.044463,33.17798674106598,-70.90173661708832,-932.897686958313
1781180428.0753915,33.066123723983765,-70.73172926902771,-932.1006536483765
1781180428.107037,32.990939915180206,-70.62064856290817,-931.5356016159058
1781180428.1382413,32.96074643731117,-70.55657356977463,-931.4759373664856
1781180428.169429,32.97453373670578,-70.55472582578659,-931.1341047286987
1781180428.2018225,32.96230733394623,-70.56234776973724,-931.1873912811279
1781180428.233442,32.929956912994385,-70.56647539138794,-930.9806227684021
1781180428.265802,32.96147659420967,-70.52722573280334,-931.0441613197327
1781180428.2963896,32.94242545962334,-70.47782093286514,-930.5332899093628
1781180428.328467,32.86394476890564,-70.48855721950531,-930.353581905365
1781180428.359788,32.82381221652031,-70.48075646162033,-930.035412311554
1781180428.3909585,32.846592366695404,-70.46086341142654,-929.9060106277466
1781180428.422164,32.84845128655434,-70.41846215724945,-929.9831390380859
1781180428.4534824,32.82513469457626,-70.33638656139374,-929.5798540115356
1781180428.4838645,32.88033604621887,-70.33365964889526,-929.4684529304504
1781180428.515584,32.84009546041489,-70.35168260335922,-929.6739101409912
1781180428.5467644,32.86623954772949,-70.28546929359436,-929.6415448188782
1781180428.5773902,32.81897306442261,-70.32470405101776,-929.8543930053711
1781180428.6089642,32.84366428852081,-70.33839821815491,-929.7650456428528
1781180428.6407797,32.85856544971466,-70.38693130016327,-929.9206137657166
1781180428.6721318,32.82385319471359,-70.35455107688904,-929.7944903373718
1781180428.7039351,32.790835946798325,-70.34312188625336,-929.8927187919617
1781180428.7350368,32.816082239151,-70.34017145633698,-929.8343062400818
1781180428.7664025,32.82830864191055,-70.36963850259781,-929.9088716506958
1781180428.7987766,32.812248915433884,-70.26755809783936,-929.8198223114014
1781180428.8288543,32.8267477452755,-70.31989097595215,-929.4875860214233
1781180428.8603868,32.83504769206047,-70.45139372348785,-929.7596216201782
1781180428.8917868,32.85455331206322,-70.40546834468842,-929.7051429748535
1781180428.9230695,32.8228697180748,-70.44880092144012,-929.7301769256592
1781180428.9536214,32.82460942864418,-70.37509977817535,-929.7600388526917
1781180428.984443,32.79518336057663,-70.36703824996948,-929.889440536499
1781180429.0153813,32.82808139920235,-70.33530622720718,-929.6954274177551
1781180429.047076,32.86594897508621,-70.30981034040451,-929.8892617225647
1781180429.07712,32.85758197307587,-70.40698081254959,-930.1519989967346
1781180429.1082284,32.88314864039421,-70.36741077899933,-930.070161819458
1781180429.13923,32.902833074331284,-70.29936462640762,-929.825484752655
1781180429.1702206,32.81369432806969,-70.36303728818893,-929.8834800720215
1781180429.2008083,32.798826694488525,-70.36522030830383,-929.8105239868164
1781180429.2323453,32.850902527570724,-70.36273926496506,-930.1057457923889
1781180429.2641516,32.8693725168705,-70.4062283039093,-930.2211999893188
1781180429.2946422,32.8495129942894,-70.378378033638,-930.1642179489136
1781180429.326677,32.85561874508858,-70.35857439041138,-929.8723340034485
1781180429.3569398,32.80264139175415,-70.36404311656952,-930.091917514801
1781180429.3875484,32.85722807049751,-70.32444328069687,-929.9327731132507
1781180429.418893,32.87258371710777,-70.3500434756279,-929.9584031105042
1781180429.4493318,32.88909047842026,-70.39859890937805,-929.7966957092285
1781180429.4813187,32.79535472393036,-70.31132280826569,-929.6972155570984
1781180429.5124784,32.850123941898346,-70.3139454126358,-929.4968843460083
1781180429.5439055,32.801710069179535,-70.26158273220062,-929.1871190071106
1781180429.5743809,32.83986076712608,-70.272296667099,-929.0643334388733
1781180429.6053908,32.80085325241089,-70.25324553251266,-929.0590286254883
1781180429.636782,32.7906496822834,-70.26544213294983,-928.9686679840088
1781180429.6678238,32.7957309782505,-70.28549909591675,-929.1732311248779
1781180429.6980388,32.798103988170624,-70.24598866701126,-929.1937947273254
1781180429.7298567,32.850977033376694,-70.25652378797531,-929.0228486061096
1781180429.7614255,32.848358154296875,-70.2814906835556,-929.1622042655945
1781180429.7919888,32.7799916267395,-70.27941197156906,-929.3802380561829
1781180429.8238976,32.79970958828926,-70.23083418607712,-929.4931292533875
1781180429.85432,32.822199165821075,-70.29027491807938,-929.5955300331116
1781180429.885683,32.859910279512405,-70.29904425144196,-929.6472668647766
1781180429.9188015,32.910943031311035,-70.30725479125977,-929.547131061554
1781180429.9497418,32.886963337659836,-70.34800201654434,-929.5758008956909
1781180429.9808967,32.88297355175018,-70.333831012249,-929.552435874939
1781180430.0122821,32.907940447330475,-70.30849903821945,-930.0786256790161
1781180430.0433874,32.91762247681618,-70.35726308822632,-929.9796223640442
1781180430.0747929,32.87947550415993,-70.2308714389801,-929.6383261680603
1781180430.1068757,32.93942287564278,-70.50245255231857,-930.1599860191345
1781180430.1377566,32.813381403684616,-70.42934000492096,-929.9523830413818
1781180430.1688921,32.77350217103958,-70.33666223287582,-929.5347929000854
1781180430.200945,32.83029422163963,-70.31134516000748,-929.597795009613
1781180430.2318041,32.86569565534592,-70.32213360071182,-929.6675324440002
1781180430.2629404,32.86559134721756,-70.24024426937103,-929.3119311332703
1781180430.2942603,32.85118192434311,-70.28141617774963,-929.3376803398132
1781180430.3250072,32.829299569129944,-70.27141004800797,-929.2322993278503
1781180430.3554208,32.8623503446579,-70.25827467441559,-929.1703701019287
1781180430.3858042,32.85340592265129,-70.2836737036705,-929.2619824409485
1781180430.416975,32.8482910990715,-70.31601667404175,-929.4317364692688
1781180430.448647,32.889485359191895,-70.28717547655106,-929.4860363006592
1781180430.4788456,32.902270555496216,-70.29469311237335,-929.552972316742
1781180430.5108526,32.88247808814049,-70.24118304252625,-929.3201565742493
1781180430.5419183,32.83529356122017,-70.19677758216858,-929.5116662979126
1781180430.5735602,32.86425396800041,-70.1487734913826,-929.1117787361145
1781180430.604861,32.8662246465683,-70.1638013124466,-929.0632605552673
1781180430.636902,32.89656341075897,-70.07475197315216,-928.8240671157837
1781180430.6681767,32.854583114385605,-70.23438066244125,-929.0757179260254
1781180430.6984954,32.8570120036602,-70.19250839948654,-928.9782047271729
1781180430.729952,32.87487104535103,-70.1715350151062,-928.9243221282959
1781180430.7616417,32.87305682897568,-70.26834785938263,-929.2181134223938
1781180430.7934308,32.89012610912323,-70.22038102149963,-929.1867017745972
1781180430.8247483,32.84871578216553,-70.26679813861847,-929.5030236244202
1781180430.8557317,32.872240990400314,-70.30019909143448,-929.5620322227478
1781180430.8880067,32.89787098765373,-70.28579711914062,-929.6828508377075
1781180430.9189692,32.89521858096123,-70.29543817043304,-929.5505881309509
1781180430.9505594,32.89886936545372,-70.27309387922287,-929.4235110282898
1781180430.9817975,32.89911150932312,-70.2955573797226,-929.389476776123
1781180431.0135725,32.89743512868881,-70.2749416232109,-929.3667674064636
1781180431.0454423,32.85684436559677,-70.29691338539124,-929.5294880867004
1781180431.0771809,32.832689583301544,-70.26487588882446,-929.4667840003967
1781180431.1080809,32.84135088324547,-70.17558813095093,-928.8405179977417
1781180431.1398335,32.82923996448517,-70.21372765302658,-928.8714528083801
1781180431.1709058,32.85718336701393,-70.23758441209793,-929.1538000106812
1781180431.2016187,32.826513051986694,-70.20211964845657,-929.0803670883179
1781180431.2330236,32.88934752345085,-70.16085833311081,-929.0515780448914
1781180431.2646067,32.87927433848381,-70.24367153644562,-929.3256998062134
1781180431.2954926,32.89243206381798,-70.27402520179749,-929.4487833976746
1781180431.3266215,32.90226683020592,-70.26030868291855,-929.2264580726624
1781180431.3578463,32.90121629834175,-70.27751207351685,-929.4056296348572
1781180431.389499,32.88179263472557,-70.2759400010109,-929.2904138565063
1781180431.4197288,32.86174684762955,-70.32329589128494,-929.3581247329712
1781180431.4506135,32.88198634982109,-70.27740031480789,-929.327666759491
1781180431.4821184,32.85093978047371,-70.23397833108902,-929.2417764663696
1781180431.5125692,32.87579491734505,-70.22006809711456,-929.2771220207214
1781180431.5432062,32.88687393069267,-70.28426229953766,-929.4580221176147
1781180431.5737872,32.91523829102516,-70.30875235795975,-929.6363592147827
1781180431.6047812,32.88008272647858,-70.32425701618195,-929.9483895301819
1781180431.6354432,32.8676737844944,-70.16383111476898,-929.5735955238342
1781180431.6670847,32.92505815625191,-70.26056200265884,-929.6606183052063
1781180431.6986704,32.904986292123795,-70.30100375413895,-929.7060966491699
1781180431.7288475,32.8962504863739,-70.2291950583458,-929.4136166572571
1781180431.759079,32.8858308494091,-70.30567526817322,-929.5540452003479
1781180431.7907329,32.89923444390297,-70.34385204315186,-929.6214580535889
1781180431.8222036,32.90136158466339,-70.31083106994629,-929.7031164169312
1781180431.8529756,32.91213884949684,-70.27477025985718,-929.641604423523
1781180431.8854272,32.90816769003868,-70.33678889274597,-929.9241900444031
1781180431.9155846,32.935455441474915,-70.24764269590378,-929.7091364860535
1781180431.9470835,32.90693461894989,-70.29469311237335,-930.1104545593262
1781180431.9785826,32.88266807794571,-70.23251056671143,-929.7254085540771
1781180432.0094204,32.823216170072556,-70.21244615316391,-929.4998645782471
1781180432.041337,32.92021527886391,-70.24982571601868,-929.4392466545105
1781180432.07186,32.86737948656082,-70.29072195291519,-929.3410181999207
