time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.554876,0.015839,0.025812,0.014817,-0.044424,-0.003825,0.996955,-0.063969,-172.66235295601538,-5.109924252876919,-179.88821907152794,-172.66235295601538,-5.109924252876919,-179.88821907152794
3.556995,0.01584,0.025809,0.014818,-0.044415,-0.003822,0.996951,-0.064044,-172.65371360658324,-5.108882427908706,-179.88888229393274,-172.65371360658324,-5.108882427908706,-179.88888229393274
3.560965,0.015837,0.025858,0.014823,-0.044838,-0.003796,0.996934,-0.064021,-172.656004257502,-5.157112119091282,-179.89486216204998,-172.656004257502,-5.157112119091282,-179.89486216204998
3.56689,0.015838,0.025855,0.014824,-0.044828,-0.003797,0.996929,-0.06409,-172.64804540847797,-5.1559767959576615,-179.89503162975674,-172.64804540847797,-5.1559767959576615,-179.89503162975674
3.570908,0.015838,0.025853,0.014825,-0.044821,-0.0038,0.996926,-0.064148,-172.6413938277673,-5.155205879733338,-179.89493662375477,-172.6413938277673,-5.155205879733338,-179.89493662375477
3.57288,0.015838,0.02585,0.014826,-0.044818,-0.003801,0.996921,-0.064224,-172.6326418252399,-5.1548766047192185,-179.8951938233375,-172.6326418252399,-5.1548766047192185,-179.8951938233375
3.578884,0.015839,0.025848,0.014827,-0.044802,-0.003804,0.996917,-0.064297,-172.62425808431004,-5.153074864381203,-179.89510983068647,-172.62425808431004,-5.153074864381203,-179.89510983068647
3.584878,0.015828,0.025899,0.01483,-0.045545,-0.003789,0.996888,-0.064229,-172.63159563400032,-5.23801147960657,-179.90197012130807,-172.63159563400032,-5.23801147960657,-179.90197012130807
3.586924,0.015829,0.025895,0.014831,-0.045533,-0.003787,0.996884,-0.064309,-172.6223901929349,-5.236634035246585,-179.90253221828206,-172.6223901929349,-5.236634035246585,-179.90253221828206
3.594906,0.01583,0.025887,0.014834,-0.045502,-0.003779,0.996874,-0.064471,-172.6036836973822,-5.233036819537011,-179.90407327312857,-172.6036836973822,-5.233036819537011,-179.90407327312857
3.596881,0.01583,0.025883,0.014835,-0.045503,-0.003774,0.996869,-0.06455,-172.5945599491894,-5.233122564831671,-179.90507011457498,-172.5945599491894,-5.233122564831671,-179.90507011457498
3.602902,0.015839,0.025883,0.014867,-0.045446,-0.003488,0.996867,-0.064637,-172.5830805753003,-5.224484198921147,-179.93791075303415,-172.5830805753003,-5.224484198921147,-179.93791075303415
3.606895,0.015839,0.02588,0.014867,-0.045458,-0.003484,0.996864,-0.064689,-172.57708252223907,-5.225836112915226,-179.9387321408109,-172.57708252223907,-5.225836112915226,-179.9387321408109
3.610868,0.015838,0.025878,0.014867,-0.045495,-0.003475,0.996858,-0.064741,-172.5710011388446,-5.230002748347341,-179.94031393381232,-172.5710011388446,-5.230002748347341,-179.94031393381232
3.614877,0.015837,0.025875,0.014866,-0.045554,-0.003463,0.996852,-0.064806,-172.56343373952998,-5.23667567180712,-179.94247268972686,-172.56343373952998,-5.23667567180712,-179.94247268972686
3.61888,0.015836,0.025873,0.014865,-0.045604,-0.003456,0.996846,-0.064861,-172.55702658347406,-5.242349362680765,-179.94393898869748,-172.55702658347406,-5.242349362680765,-179.94393898869748
3.622897,0.015845,0.025892,0.014894,-0.045808,-0.003389,0.996835,-0.064891,-172.55309209319165,-5.265204256831244,-179.95330788142795,-172.55309209319165,-5.265204256831244,-179.95330788142795
3.626889,0.015844,0.025889,0.014894,-0.045852,-0.003384,0.996829,-0.06495,-172.54623747495603,-5.270205623731651,-179.95452327048045,-172.54623747495603,-5.270205623731651,-179.95452327048045
3.630908,0.015844,0.025887,0.014894,-0.045892,-0.003382,0.996823,-0.065012,-172.53905601453167,-5.274771660048562,-179.9553810857921,-172.53905601453167,-5.274771660048562,-179.9553810857921
3.632944,0.015843,0.025884,0.014894,-0.045928,-0.003382,0.996817,-0.065073,-172.5319973903893,-5.278893380799384,-179.9559748047795,-172.5319973903893,-5.278893380799384,-179.9559748047795
3.638945,0.015842,0.025882,0.014893,-0.045968,-0.003386,0.996812,-0.065128,-172.52566651316218,-5.283506867760655,-179.95610814441346,-172.52566651316218,-5.283506867760655,-179.95610814441346
3.644933,0.015849,0.025882,0.014918,-0.046245,-0.003342,0.996796,-0.065181,-172.5191499314552,-5.314888794894535,-179.96351802537205,-172.5191499314552,-5.314888794894535,-179.96351802537205
3.646887,0.01585,0.025882,0.014919,-0.046228,-0.003383,0.996797,-0.065164,-172.52131988612888,-5.3132448582602585,-179.95859623428095,-172.52131988612888,-5.3132448582602585,-179.95859623428095
3.654857,0.015849,0.025887,0.014917,-0.046361,-0.003533,0.996802,-0.064991,-172.54197036310157,-5.3295837488340885,-179.9414594755555,-172.54197036310157,-5.3295837488340885,-179.9414594755555
3.656858,0.01585,0.025889,0.014917,-0.046411,-0.003608,0.996807,-0.064877,-172.55547532218847,-5.335860184539562,-179.93261773811912,-172.55547532218847,-5.335860184539562,-179.93261773811912
3.660877,0.015866,0.025868,0.01496,-0.046548,-0.003548,0.996815,-0.06465,-172.5812086586804,-5.35107955857557,-179.9393030423495,-172.5812086586804,-5.35107955857557,-179.9393030423495
3.666892,0.01587,0.025869,0.014963,-0.046567,-0.003619,0.996824,-0.064495,-172.59943551973336,-5.353771339039735,-179.93046405303684,-172.59943551973336,-5.353771339039735,-179.93046405303684
3.671078,0.015876,0.025869,0.014964,-0.046571,-0.003686,0.996835,-0.064325,-172.61938624234122,-5.354714431151081,-179.92189109077256,-172.61938624234122,-5.354714431151081,-179.92189109077256
3.672848,0.015885,0.025869,0.014966,-0.04657,-0.003744,0.996847,-0.064137,-172.64135681097466,-5.355012407178555,-179.91421650964224,-172.64135681097466,-5.355012407178555,-179.91421650964224
3.678876,0.015897,0.025869,0.014968,-0.046562,-0.003795,0.99686,-0.063943,-172.66399172712158,-5.354455961551391,-179.9072610630164,-172.66399172712158,-5.354455961551391,-179.9072610630164
3.686877,0.015944,0.025875,0.015026,-0.046611,-0.003626,0.996888,-0.063465,-172.7181065175043,-5.358784844039042,-179.92443464746478,-172.7181065175043,-5.358784844039042,-179.92443464746478
3.690852,0.015966,0.025875,0.015027,-0.046625,-0.003649,0.996901,-0.063263,-172.7415112558537,-5.360544085122458,-179.92080857193307,-172.7415112558537,-5.360544085122458,-179.92080857193307
3.696892,0.016017,0.025874,0.015026,-0.04667,-0.003656,0.996922,-0.062882,-172.7853915513574,-5.365710777915773,-179.91827668147957,-172.7853915513574,-5.365710777915773,-179.91827668147957
3.702879,0.016063,0.025944,0.015095,-0.046908,-0.003497,0.996936,-0.062491,-172.82943716826676,-5.391787299494828,-179.93612381864125,-172.82943716826676,-5.391787299494828,-179.93612381864125
3.706887,0.016096,0.025944,0.015097,-0.046912,-0.003463,0.996947,-0.062314,-172.84964166934995,-5.391990582671301,-179.93909389601347,-172.84964166934995,-5.391990582671301,-179.93909389601347
3.708881,0.016132,0.025944,0.0151,-0.046898,-0.003422,0.99696,-0.062132,-172.87041349985148,-5.390088513656325,-179.94271103545373,-172.87041349985148,-5.390088513656325,-179.94271103545373
3.714876,0.01617,0.025944,0.015103,-0.046866,-0.003373,0.996974,-0.061931,-172.89332008138814,-5.3860635731014534,-179.94701558829075,-172.89332008138814,-5.3860635731014534,-179.94701558829075
3.716849,0.016211,0.025945,0.015105,-0.046813,-0.003317,0.99699,-0.06172,-172.91736266442143,-5.379588252844053,-179.9519214172787,-172.91736266442143,-5.379588252844053,-179.9519214172787
3.722861,0.016268,0.02596,0.015215,-0.046777,-0.003267,0.99701,-0.061411,-172.95269051906993,-5.375093487780726,-179.9557322710479,-172.95269051906993,-5.375093487780726,-179.9557322710479
3.728865,0.016352,0.02596,0.015229,-0.046608,-0.00313,0.997049,-0.060918,-173.00885673832713,-5.3547637370021715,-179.9676013912021,-173.00885673832713,-5.3547637370021715,-179.9676013912021
3.732854,0.016394,0.025959,0.015235,-0.046528,-0.003067,0.997068,-0.060668,-173.03736171934543,-5.345155264535606,-179.97292493292235,-173.03736171934543,-5.345155264535606,-179.97292493292235
3.738921,0.016436,0.025958,0.015242,-0.046455,-0.003013,0.997087,-0.060412,-173.06660261259975,-5.336414004745311,-179.9772369658056,-173.06660261259975,-5.336414004745311,-179.9772369658056
