time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
5.279556,0.007223,0.000167,0.025861,-0.030696,0.025037,0.998424,-0.039748,-175.35104749124758,-3.3999157001663773,176.98899300549186,-175.35104749124758,-3.3999157001663773,176.98899300549186
5.28355,0.007223,0.000167,0.025861,-0.03069,0.025024,0.998425,-0.039743,-175.35168948173018,-3.399305226817548,176.99053261769774,-175.35168948173018,-3.399305226817548,176.99053261769774
5.287522,0.007223,0.000168,0.025861,-0.030685,0.025012,0.998426,-0.039734,-175.3527824924306,-3.398816273530943,176.99196536609927,-175.3527824924306,-3.398816273530943,176.99196536609927
5.291573,0.007223,0.000168,0.025861,-0.030678,0.025001,0.998427,-0.03972,-175.35444934770652,-3.3981078584634643,176.99330794932354,-175.35444934770652,-3.3981078584634643,176.99330794932354
5.295548,0.007207,0.000202,0.02588,-0.030597,0.025071,0.998431,-0.039645,-175.36309232120038,-3.3887349921650975,176.9859288196971,-175.36309232120038,-3.3887349921650975,176.9859288196971
5.299559,0.007207,0.000201,0.02588,-0.03059,0.02506,0.998431,-0.03965,-175.3625745992052,-3.387968384159815,176.9872044800488,-175.3625745992052,-3.387968384159815,176.9872044800488
5.305545,0.007208,0.000201,0.025881,-0.030572,0.025046,0.998432,-0.039645,-175.36325385036056,-3.3859869747960265,176.98891294880204,-175.36325385036056,-3.3859869747960265,176.98891294880204
5.307634,0.007208,0.000202,0.025881,-0.030565,0.025031,0.998433,-0.039629,-175.36516118211583,-3.385302437573997,176.99071915066833,-175.36516118211583,-3.385302437573997,176.99071915066833
5.311572,0.007208,0.000203,0.025881,-0.030551,0.025015,0.998434,-0.039619,-175.3664061401166,-3.3838028784452625,176.99265342534432,-175.3664061401166,-3.3838028784452625,176.99265342534432
5.319735,0.007192,0.000231,0.02589,-0.030549,0.02502,0.998435,-0.039596,-175.36903815559464,-3.3836204797439478,176.99216896788695,-175.36903815559464,-3.3836204797439478,176.99216896788695
5.323547,0.007192,0.00023,0.02589,-0.03055,0.025007,0.998435,-0.039621,-175.36621876457178,-3.383722415671125,176.99357670760395,-175.36621876457178,-3.383722415671125,176.99357670760395
5.327542,0.007192,0.000231,0.02589,-0.030553,0.024992,0.998435,-0.039613,-175.36716956262055,-3.384157425278558,176.99530410090378,-175.36716956262055,-3.384157425278558,176.99530410090378
5.337534,0.007177,0.000274,0.025896,-0.030496,0.024911,0.998436,-0.039682,-175.35970932825103,-3.3777990740011243,177.0046345649705,-175.35970932825103,-3.3777990740011243,177.0046345649705
5.339541,0.007176,0.000272,0.025896,-0.030499,0.024899,0.998434,-0.039734,-175.3537688362518,-3.3780419425916905,177.0058190982083,-175.3537688362518,-3.3780419425916905,177.0058190982083
5.345574,0.007176,0.00027,0.025897,-0.030513,0.024886,0.998431,-0.03981,-175.34504443100002,-3.379478179274384,177.00698629571806,-175.34504443100002,-3.379478179274384,177.00698629571806
5.351572,0.007174,0.00027,0.025895,-0.030549,0.024747,0.998427,-0.039972,-175.326801538226,-3.3837651682271925,177.02220490517325,-175.326801538226,-3.3837651682271925,177.02220490517325
5.357537,0.007147,0.000285,0.025881,-0.030525,0.02457,0.998439,-0.039794,-175.34790842365072,-3.382370743631983,177.04322094833006,-175.34790842365072,-3.382370743631983,177.04322094833006
