time,x,y,z,roll,pitch,yaw
9.99408,0.057958,-0.025583,0.021892,-177.55566285176735,0.8240581003866135,179.64254124113967
9.998086,0.057951,-0.025531,0.021876,-177.68888821655648,0.7885038121368461,179.63915696486686
10.00407,0.05794,-0.025473,0.021855,-177.8388922646172,0.7326260833892632,179.63444432462606
10.006043,0.057937,-0.025445,0.021848,-177.91152942211656,0.7212766882276797,179.6340074907342
10.012074,0.057942,-0.025406,0.021892,-177.67538707036297,0.7945294467238164,179.63811008746816
10.018355,0.057941,-0.025386,0.021891,-177.70254422601457,0.7931673679213792,179.63869868887673
10.020112,0.057939,-0.025367,0.021888,-177.7277432641343,0.7870286278128102,179.63771572935977
10.024061,0.057936,-0.025349,0.021886,-177.75329010111966,0.7798602411129557,179.63659935520454
10.028102,0.057933,-0.025328,0.021883,-177.7818185608766,0.7716555830386718,179.63521752490448
10.032092,0.05793,-0.025375,0.021878,-177.70619185590616,0.783330090405058,179.63710132259266
10.036111,0.057929,-0.025358,0.021876,-177.72428941345106,0.7792669957778734,179.63666847949236
10.040462,0.057927,-0.02534,0.021875,-177.74319556180797,0.7757702881415198,179.63647288228162
10.04206,0.057925,-0.02533,0.021873,-177.7545305934363,0.7713849057272898,179.6360815516762
10.048086,0.057924,-0.025318,0.021872,-177.76747219675667,0.768820680986112,179.63605954456406
10.052121,0.057929,-0.025261,0.021892,-177.72415567490282,0.7917197672215327,179.66178854863537
10.058081,0.057928,-0.025245,0.021891,-177.73916467724644,0.7886967626056421,179.66162637025704
10.060049,0.057927,-0.025237,0.02189,-177.74717712414937,0.78592292560669,179.66151664480486
10.064129,0.057925,-0.025222,0.021889,-177.76241606133524,0.7836967486923135,179.66159907639553
10.066048,0.057923,-0.025209,0.021888,-177.77547276698553,0.7769142815067431,179.66057708397645
10.074124,0.057935,-0.025138,0.021918,-177.78075931835852,0.8105234032146517,179.68789691148794
10.078091,0.057934,-0.025129,0.021917,-177.7895811630802,0.8082059944305192,179.68790527942485
10.080081,0.057932,-0.02512,0.021916,-177.79851540191993,0.8031538110919606,179.68705826009148
10.084101,0.05793,-0.025108,0.021915,-177.8093960039707,0.7992329270318088,179.68667839788728
10.088124,0.057928,-0.025094,0.021913,-177.82406066113904,0.7941626735670134,179.68590786819607
10.092069,0.057941,-0.02505,0.021935,-177.82708655726708,0.8307544980019697,179.70801270841807
10.100095,0.057939,-0.025033,0.021934,-177.84380821191368,0.824985216083343,179.70766910121188
10.10409,0.057938,-0.025025,0.021933,-177.8521712451084,0.8218707263999734,179.70755135473888
10.108087,0.057936,-0.025016,0.021932,-177.861448643341,0.817839264987708,179.70729568268914
10.116076,0.057948,-0.024987,0.02195,-177.87056607344394,0.8479860795415484,179.72429533915368
10.120097,0.057947,-0.024978,0.021949,-177.87995666776982,0.8460151485769435,179.72418928753748
10.124142,0.057947,-0.024972,0.021948,-177.88614553674245,0.8435927736806035,179.7242145495424
10.128096,0.057945,-0.024961,0.021947,-177.8984009633729,0.8389863411375744,179.72369640271927
10.136123,0.057955,-0.024916,0.02197,-177.91381684486961,0.8700967503743426,179.7250666233766
10.140066,0.057955,-0.024908,0.021969,-177.92206883465045,0.8688129809246147,179.72521080023515
10.144073,0.057953,-0.024903,0.021968,-177.92790681207163,0.8645657047947276,179.72474605252648
10.148154,0.057952,-0.024897,0.021967,-177.93374476071077,0.8613434250641152,179.7246440978716
10.158072,0.05796,-0.024874,0.021983,-177.95337736123,0.8909352212069345,179.71425183636555
10.160065,0.05796,-0.02487,0.021982,-177.95807358949457,0.8890904055941794,179.71418281699962
10.164089,0.057959,-0.024865,0.021981,-177.96425634836544,0.8864395821179905,179.71408795221564
10.168151,0.057957,-0.024859,0.02198,-177.97089411977677,0.8812748398694212,179.71348676192116
10.176092,0.057967,-0.02485,0.021993,-177.9880858324982,0.9122590099732804,179.70874167614244
10.180119,0.057966,-0.024846,0.021992,-177.9925502244044,0.9086998347090044,179.7084148896893
10.184132,0.057965,-0.024841,0.021991,-177.998046150283,0.9054816218179069,179.70808611171051
10.188099,0.057964,-0.024835,0.02199,-178.0052594628704,0.9011189111944766,179.707380162238
10.196109,0.057971,-0.024789,0.02201,-178.00810477397764,0.9286838221491596,179.7035954931376
10.200072,0.05797,-0.024781,0.022009,-178.0171563061783,0.9250002075228304,179.70311537667868
10.204089,0.057968,-0.024776,0.022008,-178.02391060274994,0.9209781204446755,179.7026477699273
10.212104,0.057976,-0.024773,0.022014,-178.03785358932114,0.9461735638986182,179.7015925741491
10.216084,0.057975,-0.02477,0.022013,-178.0410532618567,0.9422766760504401,179.7010406244355
10.220649,0.057974,-0.024766,0.022012,-178.0468936532729,0.9394008057879557,179.70071460920403
10.224085,0.057973,-0.024763,0.022011,-178.05044175874755,0.9351600913772724,179.70015533140307
10.232091,0.057979,-0.024747,0.022022,-178.05122960107792,0.9504100211109275,179.70636768368658
10.236057,0.057979,-0.024742,0.022021,-178.05672656945347,0.9478771413400428,179.70616481910417
10.240062,0.057978,-0.02474,0.02202,-178.05970354665428,0.944096445775151,179.70561819981256
10.244066,0.057976,-0.024737,0.022019,-178.06347969123442,0.9387132165686217,179.70480877703403
10.248093,0.057975,-0.024734,0.022018,-178.06736902595395,0.9332131063786328,179.70411141393265
10.252063,0.057982,-0.024718,0.02203,-178.06615280113041,0.9591948180629382,179.70639302444147
10.256107,0.057982,-0.024715,0.022029,-178.070161322584,0.9567805363023669,179.7062046328145
10.260093,0.057981,-0.024711,0.022028,-178.07611713736463,0.9534500570702437,179.705640768331
10.264353,0.05798,-0.024708,0.022027,-178.08012532342278,0.9509211518295,179.70545086870024
10.268065,0.057979,-0.024705,0.022027,-178.0829797937062,0.9466794344377186,179.70501194704698
10.27212,0.057985,-0.024697,0.022035,-178.0769906999775,0.9628341095263879,179.71312546238462
10.278079,0.057984,-0.024693,0.022034,-178.08306443440597,0.9577896427588247,179.7123033893958
10.280036,0.057983,-0.02469,0.022033,-178.08637885554384,0.9537779509976394,179.71174978863982
10.284112,0.057982,-0.024686,0.022032,-178.09268185681813,0.9506711746570874,179.71153208633336
10.292075,0.057986,-0.024667,0.022038,-178.0947368591627,0.9598967134719355,179.71464762883087
10.296111,0.057985,-0.024665,0.022037,-178.0982862245802,0.9555435280849711,179.7139729828642
10.300093,0.057984,-0.024661,0.022037,-178.1040136782092,0.9534687102313016,179.71377657926473
10.308099,0.057982,-0.024656,0.022035,-178.11065245175223,0.9452160376116947,179.71278383283078
10.312076,0.057988,-0.024648,0.022043,-178.10082893791645,0.9580901375220017,179.7120455210477
10.316064,0.057987,-0.024647,0.022042,-178.10220345820372,0.9560248700929901,179.7120004951678
10.320156,0.057986,-0.024644,0.022042,-178.10551943207415,0.952586025138726,179.7114571030728
10.328076,0.057985,-0.024641,0.02204,-178.11124055732006,0.9474210008791165,179.71098074606178
