time,x,y,z,tracker_x0,tracker_y0,tracker_z0,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.714059,0.222678,0.033331,0.208646,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038291,0.266424,-0.962928,0.017925,-179.1882676696685,-4.777944868228514,-149.10232997287068,180.8117323303315,-4.777944868228514,-149.10232997287068
3.718086,0.222626,0.033497,0.209102,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038258,0.266515,-0.962906,0.017844,-179.1966801960551,-4.771899253366949,-149.0912253049691,180.8033198039449,-4.771899253366949,-149.0912253049691
3.72213,0.22262,0.033667,0.209545,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038161,0.266609,-0.962885,0.017776,-179.20170717189293,-4.75917509825781,-149.0798892371177,180.79829282810707,-4.75917509825781,-149.0798892371177
3.724117,0.222573,0.033833,0.210006,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038081,0.266678,-0.962868,0.017803,-179.19660916847533,-4.751212071927443,-149.071866121464,180.80339083152467,-4.751212071927443,-149.071866121464
3.730117,0.222541,0.034007,0.210477,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037755,0.266784,-0.962851,0.017836,-179.18349427766353,-4.716274733230956,-149.0599319686956,180.81650572233647,-4.716274733230956,-149.0599319686956
3.73419,0.222528,0.034184,0.210951,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.03734,0.266923,-0.962828,0.017897,-179.16470704760303,-4.672390159769846,-149.04434471240057,180.83529295239697,-4.672390159769846,-149.04434471240057
3.738076,0.222481,0.034279,0.210978,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036822,0.266747,-0.962906,0.017363,-179.20710846617789,-4.5986423854241885,-149.0639162287442,180.79289153382211,-4.5986423854241885,-149.0639162287442
3.742077,0.222446,0.034454,0.211447,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036574,0.266797,-0.962903,0.017296,-179.20716953415376,-4.569222276347063,-149.05810298668308,180.79283046584624,-4.569222276347063,-149.05810298668308
3.746094,0.222433,0.034635,0.211915,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036317,0.266888,-0.962889,0.017235,-179.20648165358008,-4.539025943685652,-149.04745754036213,180.79351834641992,-4.539025943685652,-149.04745754036213
3.754095,0.222348,0.034979,0.212876,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036014,0.266933,-0.962888,0.017196,-179.20172670140047,-4.504377203117655,-149.04236599692828,180.79827329859953,-4.504377203117655,-149.04236599692828
3.758094,0.222306,0.035154,0.213368,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035861,0.26699,-0.962878,0.017232,-179.1933213669976,-4.488619499352573,-149.0360217349139,180.8066786330024,-4.488619499352573,-149.0360217349139
3.760116,0.222271,0.035333,0.213858,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035752,0.267023,-0.962872,0.017249,-179.18825266903946,-4.477118263622008,-149.03227397226968,180.81174733096054,-4.477118263622008,-149.03227397226968
3.766084,0.222221,0.035511,0.214353,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035789,0.267017,-0.962873,0.017225,-179.19201537023056,-4.480468856560655,-149.03286025933062,180.80798462976944,-4.480468856560655,-149.03286025933062
3.770057,0.222172,0.035692,0.214853,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035888,0.267015,-0.96287,0.017206,-179.197142831834,-4.490826315927122,-149.03284949914197,180.802857168166,-4.490826315927122,-149.03284949914197
3.774102,0.222127,0.035877,0.215357,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035973,0.267019,-0.962866,0.017225,-179.19766423551522,-4.500808418297982,-149.0323697766589,180.80233576448478,-4.500808418297982,-149.0323697766589
