x,y,z,roll,pitch,yaw
153.466,-590.213,1587.079,-113.272,56.643,-179.558
153.477,-590.192,1587.016,-113.388,56.636,-179.536
153.491,-590.152,1586.963,-113.358,56.641,-179.376
153.362,-590.213,1586.98,-113.133,56.628,-179.576
153.278,-590.204,1586.925,-112.815,56.638,-179.417
153.207,-590.367,1586.886,-112.743,56.697,-179.433
153.132,-590.453,1586.85,-112.603,56.702,-179.302
153.139,-590.359,1586.83,-112.387,56.661,-178.996
153.151,-590.122,1586.765,-112.157,56.664,-178.791
153.066,-590.503,1586.592,-112.166,56.665,-178.823
153.002,-590.565,1586.548,-112.181,56.656,-178.884
152.856,-590.315,1586.564,-112.143,56.71,-178.936
152.884,-590.764,1586.509,-112.121,56.735,-178.958
152.826,-590.78,1586.438,-112.117,56.784,-178.955
152.813,-590.786,1586.44,-112.042,56.817,-178.875
152.747,-590.843,1586.403,-112.191,56.879,-179.112
152.726,-590.915,1586.389,-112.181,56.893,-179.123
152.716,-590.934,1586.35,-112.34,56.871,-179.25
152.721,-590.981,1586.332,-112.405,56.835,-179.341
152.587,-590.922,1586.361,-112.092,57.025,-179.25
152.307,-590.767,1586.624,-111.5,56.995,-178.467
151.992,-590.37,1586.542,-111.325,57.034,-178.302
151.864,-590.9,1585.74,-111.442,57.026,-178.365
151.779,-590.854,1585.551,-111.293,57.048,-178.267
151.772,-590.798,1585.464,-111.246,57.003,-178.275
151.75,-590.692,1585.41,-111.406,57.066,-178.492
151.659,-590.248,1585.351,-111.191,57.076,-178.271
151.376,-589.472,1585.411,-111.117,57.203,-178.224
151.33,-590.393,1585.009,-111.39,57.175,-178.46
151.288,-590.284,1584.905,-111.416,57.204,-178.451
151.269,-590.239,1584.867,-111.302,57.17,-178.301
151.154,-590.148,1584.988,-111.205,57.094,-178.145
151.207,-590.309,1584.831,-111.095,57.019,-178.029
151.261,-590.245,1584.858,-110.726,56.858,-177.51
151.221,-590.025,1585.07,-110.851,56.912,-177.641
151.242,-590.284,1584.721,-111.043,56.884,-177.704
151.318,-589.831,1584.877,-110.726,56.902,-177.389
151.338,-589.73,1585.179,-111.192,56.994,-177.96
151.236,-589.237,1584.992,-111.16,56.964,-177.862
150.865,-589.303,1584.743,-111.135,57.173,-177.965
150.585,-589.713,1584.8,-111.725,57.404,-178.705
150.481,-589.178,1584.582,-111.292,57.203,-177.994
150.323,-588.956,1584.383,-110.983,57.209,-177.649
150.455,-590.263,1583.934,-111.205,57.144,-177.802
150.406,-590.148,1583.871,-111.188,57.13,-177.752
150.322,-590.087,1583.854,-111.225,57.179,-177.813
150.299,-590.133,1583.863,-111.128,57.184,-177.719
150.289,-590.209,1583.856,-111.116,57.14,-177.695
150.288,-590.305,1583.85,-111.143,57.122,-177.695
150.285,-590.29,1583.829,-111.116,57.113,-177.597
150.268,-590.351,1583.832,-111.012,57.145,-177.508
150.226,-590.415,1583.855,-111.006,57.28,-177.592
150.145,-590.32,1583.786,-110.804,57.472,-177.499
149.975,-590.955,1584.616,-109.661,57.653,-176.261
150.44,-592.998,1588.796,-108.271,57.957,-175.595
150.01,-597.313,1601.783,-103.317,57.761,-169.992
151.087,-600.881,1628.524,-100.599,56.982,-167.48
153.667,-600.135,1655.596,-97.263,54.768,-164.905
155.318,-599.401,1689.445,-92.606,52.045,-159.601
157.547,-599.58,1715.118,-91.731,50.556,-159.235
160.866,-597.698,1743.621,-92.384,49.177,-159.763
163.56,-595.905,1763.237,-92.897,48.067,-159.921
158.182,-516.509,1767.159,-84.016,49.177,-132.497
160.461,-519.818,1776.048,-89.665,48.271,-142.523
160.89,-515.286,1779.969,-90.38,46.809,-146.503
162.309,-518.005,1782.948,-90.889,45.655,-148.868
166.706,-536.393,1787.626,-91.251,44.695,-151.262
170.51,-562.763,1791.667,-91.25,44.549,-153.895
170.422,-567.802,1785.695,-91.592,45.083,-154.819
169.64,-571.904,1776.487,-91.285,45.406,-154.034
165.937,-580.251,1759.27,-91.644,46.395,-153.363
158.966,-588.131,1733.959,-91.648,47.924,-153.569
149.872,-599.815,1705.795,-91.668,49.763,-155.944
144.553,-606.622,1682.531,-92.377,51.051,-157.453
150.194,-710.364,1652.719,-125.339,32.772,84.501
177.498,-677.037,1655.133,-55.787,24.203,-163.281
176.093,-683.231,1632.222,-65.425,40.286,-152.772
170.22,-661.207,1609.849,-65.333,44.668,-146.579
156.497,-642.155,1587.499,-78.028,51.934,-151.515
138.547,-605.847,1564.039,-78.96,54.741,-152.148
126.341,-587.599,1546.268,-84.202,57.533,-154.443
119.949,-576.727,1536.369,-87.509,58.665,-156.162
117.08,-565.112,1532.727,-90.119,59.296,-158.049
116.738,-562.543,1532.242,-92.894,59.566,-160.249
119.071,-569.207,1535.666,-97.053,59.803,-163.943
122.496,-578.345,1543.951,-100.126,59.401,-166.712
126.188,-592.7,1557.492,-102.879,59.131,-169.375
128.49,-594.056,1572.469,-103.772,58.629,-170.145
131.383,-588.927,1593.261,-104.166,57.639,-170.203
135.88,-588.555,1617.937,-103.567,56.027,-169.017
139.285,-585.434,1639.588,-100.403,54.19,-164.909
141.466,-590.744,1651.766,-96.612,52.404,-161.061
141.769,-593.061,1656.989,-96.039,52.34,-161.62
173.292,-729.587,1623.478,-34.012,12.505,-154.846
318.364,-1419.881,1603.668,-51.403,49.157,-110.003
366.389,-1818.138,1669.785,-92.105,60.83,-148.393
405.733,-2130.146,1804.422,-93.405,57.638,-164.685
384.007,-1778.506,1820.74,-92.175,52.172,-163.643
338.2,-1303.536,1771.433,-88.774,50.292,-163.041
321.026,-984.858,1731.991,-86.242,48.349,-161.541
336.351,-890.592,1710.042,-86.856,46.931,-159.998
288.694,-652.935,1665.376,-83.296,45.986,-155.824
254.829,-566.556,1645.242,-83.604,47.866,-154.669
216.014,-522.792,1629.368,-83.825,49.465,-151.91
171.74,-506.514,1614.9,-86.084,52.609,-150.746
134.155,-509.764,1604.081,-89.913,54.954,-151.538
105.288,-524.637,1596.868,-93.801,57.33,-154.031
87.22,-540.917,1592.626,-95.24,58.669,-153.578
72.319,-552.44,1588.085,-96.824,60.276,-154.428
64.473,-566.307,1585.392,-97.417,61.452,-154.703
66.711,-582.84,1587.345,-98.328,61.583,-155.854
78.165,-592.238,1593.516,-100.6,61.197,-159.226
93.18,-595.514,1601.019,-102.657,60.393,-162.697
114.309,-593.253,1610.733,-103.102,58.638,-164.171
144.19,-583.449,1622.294,-102.66,56.196,-164.958
