time,x,y,z,roll,pitch,yaw
19.941561,0.078109,0.057111,0.294279,171.3319942097734,-30.051391510864974,178.3376419962785
19.947411,0.078196,0.057247,0.29385,171.27446304721286,-30.01234083697306,178.3396085746492
19.949377,0.078302,0.057339,0.293388,171.25386103141435,-29.998792676057366,178.3586450511673
19.953382,0.078435,0.057383,0.2929,171.23137468981417,-29.99480987309275,178.40018467250502
19.959741,0.088291,0.058791,0.297089,-172.57200141708424,-15.270826923140152,-174.05767113459848
19.962947,0.088508,0.059272,0.296716,-172.55625089988226,-15.269378000303098,-174.04269775317314
19.965369,0.088734,0.059714,0.296345,-172.53611669288992,-15.263495826952543,-174.0288683374925
19.971454,0.088968,0.060135,0.295971,-172.5151734522055,-15.255727161012166,-174.01593809279817
19.979419,0.090429,0.049114,0.299,-170.08314459509756,-14.105294456123428,-173.3589261636967
19.98339,0.090649,0.049187,0.298792,-170.06641304273495,-14.095098268454862,-173.35011942251367
19.987358,0.090872,0.049246,0.298583,-170.05311424587435,-14.084914449476024,-173.34343730753284
19.989371,0.091099,0.049288,0.298374,-170.03956426091275,-14.075448055504816,-173.33929059227094
19.999416,0.085922,0.078714,0.291524,177.77599144079525,-18.713733010931026,-178.05567070531322
20.001348,0.08615,0.078939,0.291172,177.79736999606044,-18.70723544829938,-178.05352938127686
20.007465,0.086393,0.079115,0.290814,177.82077186631423,-18.701563922734085,-178.04892017015834
20.009367,0.086652,0.07924,0.29045,177.84468639509555,-18.69467043667429,-178.04023625462065
20.013424,0.086927,0.079315,0.290082,177.86783326736517,-18.687909200249667,-178.0254963514503
20.021403,0.083546,0.09448,0.285881,170.8721300763193,-22.366334771588928,179.28170968895415
20.027475,0.083847,0.09441,0.285395,170.89804483368755,-22.360030972829236,179.31336980006682
20.031549,0.084169,0.094271,0.284898,170.92850100777144,-22.357422689900222,179.3492310204068
20.033435,0.084512,0.094063,0.284391,170.9647294801013,-22.359078030527897,179.38768379913554
20.043405,0.086021,0.066933,0.293965,178.3167746333975,-19.421175497468543,-178.80677265714812
20.047437,0.086324,0.066139,0.293843,178.37367165580437,-19.440653648519366,-178.7650463767574
20.049414,0.086648,0.065301,0.293718,178.4327222380811,-19.461213860769938,-178.72043436390965
20.055759,0.086993,0.064418,0.293588,178.491783825082,-19.482021378135805,-178.67397495269458
20.059503,0.085678,0.06731,0.292648,-178.04134637252585,-18.654437605782782,-177.32964775000923
20.067666,0.086304,0.065964,0.292331,-177.93681775411028,-18.68778098298719,-177.24790637018847
20.071376,0.08665,0.065243,0.29217,-177.89280140828092,-18.69903334575815,-177.2131093469121
20.075496,0.087019,0.064491,0.292006,-177.85750552232554,-18.706311613041684,-177.18136994555115
20.081415,0.086385,0.06448,0.292287,-176.26655745716087,-17.842946293685287,-176.30714783096693
20.087389,0.08709,0.063039,0.291982,-176.24959976137458,-17.8431709982582,-176.25359000993853
20.09138,0.087474,0.062278,0.291824,-176.25315888406735,-17.838010994729856,-176.2327960879299
20.093398,0.087878,0.061488,0.291664,-176.25996937132024,-17.828792832724822,-176.21801014472814
20.099398,0.086459,0.075045,0.289492,-175.4562131188207,-16.788074051474837,-175.04312644432966
20.103364,0.086806,0.07464,0.289277,-175.46688404241254,-16.771012906340857,-175.0396156021085
20.111471,0.08755,0.073743,0.288844,-175.49630861639372,-16.726190968353567,-175.0419717972854
20.115411,0.087948,0.073251,0.288628,-175.51905681015782,-16.70100814304693,-175.04585007774222
20.121732,0.087993,0.065444,0.290992,-174.10499543554658,-15.877331786039079,-174.76581778750082
20.123411,0.088372,0.064768,0.290853,-174.13393715780583,-15.85300068850535,-174.77131943195212
20.12939,0.08917,0.063324,0.290582,-174.18781733019117,-15.812953908830437,-174.78339033702275
20.135417,0.089588,0.062551,0.29045,-174.20836168642583,-15.800284282549384,-174.78732545089326
20.141489,0.088241,0.069824,0.287876,-178.48887022570358,-17.88871348538018,-176.40746024011835
20.143385,0.08871,0.06897,0.287681,-178.49082491874455,-17.890837520651527,-176.40206501413567
20.147356,0.089195,0.06807,0.287486,-178.48060984137337,-17.900797096030008,-176.39063970526433
20.151357,0.089697,0.067125,0.287289,-178.45892873717065,-17.91821929466681,-176.3730690505134
20.153425,0.090218,0.066133,0.287091,-178.42511639141333,-17.940441787071094,-176.35013185364545
20.159367,0.089616,0.068301,0.285718,179.30072015315972,-19.17337714390504,-177.13229007773825
20.163362,0.090182,0.067184,0.28548,179.35088151311263,-19.201168597643168,-177.09980916175437
20.167541,0.09077,0.066019,0.285237,179.4078184865087,-19.230655372964208,-177.06579982640042
20.175382,0.092017,0.063544,0.284743,179.53180542078042,-19.28643935055481,-176.99403629762728
20.181482,0.091504,0.063787,0.283819,177.94734973680636,-20.19124457303568,-177.51963413348787
20.183537,0.092182,0.062398,0.28354,178.00372604415338,-20.21211690681204,-177.47964471218748
20.187408,0.092885,0.060961,0.283254,178.0552283118408,-20.23123386804419,-177.44082595901506
20.189505,0.093613,0.059477,0.282963,178.1024195366102,-20.250334175644785,-177.4053208169219
20.195382,0.094365,0.057949,0.282668,178.14538942261714,-20.268852426500366,-177.3735115367391
20.201493,0.093788,0.057058,0.282053,176.92532619866708,-20.914126914431716,-177.746535419107
20.203439,0.09457,0.055393,0.281732,176.96402658497382,-20.934104408408547,-177.72336644187487
